x,y,z
-0.212691,-0.56404,0.38355300000000003
-0.744769,0.187987,0.592517
-1.265797,1.429111,0.492216
-1.768029,2.578559,0.39109499999999997
-1.861251,2.459582,0.122473
-1.030308,1.310042,-0.037961
0.279568,-0.252593,0.12701500000000002
0.532107,0.46751400000000004,0.445118
0.262327,0.228902,0.41042399999999996
0.28965100000000005,-0.502407,0.253472
-0.521951,0.820757,-0.396962
1.1928040000000002,0.6378510000000001,-0.631509
1.234212,1.6835689999999999,0.22629000000000002
-0.191224,1.79975,0.11363599999999999
-0.151513,3.524986,-0.591188
0.158564,3.60885,-1.8507
-0.722787,2.4533150000000004,-2.755886
-1.6943,1.8970740000000001,-2.937148
-0.708772,4.291708,0.49245500000000003
-1.004566,4.738119,0.999359
-1.529303,2.509459,0.149313
-1.330624,0.8610530000000001,0.349366
-1.245174,-0.201845,0.213524
-0.996911,-0.41944,0.068123
-0.780871,0.309925,-0.031716
-0.434085,1.2780850000000001,-0.021988
-0.656592,2.047118,-0.07153
-0.886236,1.7590880000000002,-0.303501
-0.667986,0.788488,-0.458829
-0.563347,0.713929,-0.552006
-0.547047,0.734296,-0.597852
-0.444435,0.978032,-0.633767
-0.289972,1.206353,-0.589184
-0.177825,1.103266,-0.481446
-0.013647,0.8343700000000001,-0.246014
0.204422,0.8818450000000001,-0.05334
0.012119,0.719101,0.318335
0.135897,0.410263,0.720178
1.0313379999999999,-0.061196,0.894748
1.643341,-0.511305,0.771413
2.0955340000000002,-1.577837,0.693685
2.592616,-2.278625,0.488684
3.047734,-0.65188,0.077445
3.517982,0.897748,0.023196
3.583486,1.6635080000000002,-0.256134
3.2165150000000002,2.12793,-0.993161
2.873332,0.78368,-0.993835
2.511066,-0.913275,-0.421624
2.303284,-1.606624,0.253997
1.867925,-1.312446,0.324287
1.393391,-0.808736,0.776457
1.249362,-0.73089,0.615118
1.1788100000000001,-0.805256,0.093429
0.9261280000000001,-0.357871,-0.212285
0.557883,0.064258,-0.229285
0.059530999999999994,0.526252,0.019811000000000002
-0.276347,1.2105489999999999,-0.052847
-0.49284,2.045952,-0.187889
-0.480805,2.790673,-0.221874
-0.210516,2.883404,-0.20193
-0.072661,2.413322,-0.247367
-0.343199,1.951332,-0.098045
-0.477589,1.196834,0.088922
-0.021955,0.8792469999999999,-0.005765
0.173665,0.559762,0.066513
-0.028397,0.8209870000000001,0.18334
-0.305933,1.836656,0.042299
-0.536157,3.186599,-0.083884
0.429515,1.721632,-0.866814
1.6715330000000002,1.057844,-0.847674
0.8612770000000001,2.319932,-1.144439
-0.275141,1.390469,-1.089229
-0.91743,2.631169,-1.510844
-0.909282,3.06548,-1.703623
-0.169638,4.903685,-0.632591
-0.339968,4.692953,0.264864
-0.932165,2.6926400000000004,0.176765
-0.682511,1.452007,0.123483
-0.577939,1.507892,0.176485
-0.471982,1.366819,0.19877
-0.747095,1.085784,0.12136500000000001
-0.702498,0.963425,0.045989
-0.236395,1.345558,-0.016406
-0.339699,1.893341,0.015285
-0.439936,1.7844509999999998,-0.105985
